address, description, register, mode, manip_1_bit, manip_8_bit, manip_16_bit, initial_value
18000285, CAN message control register 20,M_CTRL20,R/W,,x,,Undefined
18000286, CAN message time stamp register 20,M_TIME20,R/W,,,x,Undefined
18000288, CAN message data register 200,M_DATA200,R/W,,x,,Undefined
18000289, CAN message data register 201,M_DATA201,R/W,,x,,Undefined
1800028A, CAN message data register 202,M_DATA202,R/W,,x,,Undefined
1800028B, CAN message data register 203,M_DATA203,R/W,,x,,Undefined
1800028C, CAN message data register 204,M_DATA204,R/W,,x,,Undefined
1800028D, CAN message data register 205,M_DATA205,R/W,,x,,Undefined
1800028E, CAN message data register 206,M_DATA206,R/W,,x,,Undefined
1800028F, CAN message data register 207,M_DATA207,R/W,,x,,Undefined
18000290, CAN message ID register L20,M_IDL20,R/W,,,x,Undefined
18000292, CAN message ID register H20,M_IDH20,R/W,,,x,Undefined
18000294, CAN message configuration register 20,M_CONF20,R/W,,x,,Undefined
18000295, CAN message status register 20,M_STAT20,R,,x,,Undefined
18000296, CAN status set/cancel register 20,SC_STAT20,W,,,x,0000H
180002A0, CAN message event pointer 210,M_EVT210,R/W,,x,,Undefined
180002A1, CAN message event pointer 211,M_EVT211,R/W,,x,,Undefined
1800022A, CAN message event pointer 212,M_EVT212,R/W,,x,,Undefined
180002A3, CAN message event pointer 213,M_EVT213,R/W,,x,,Undefined
180002A4, CAN message data length register 21,M_DLC21,R/W,,x,,Undefined
180002A5, CAN message control register 21,M_CTRL21,R/W,,x,,Undefined
180002A6, CAN message time stamp register 21,M_TIME21,R/W,,,x,Undefined
180002A8, CAN message data register 210,M_DATA210,R/W,,x,,Undefined
180002A9, CAN message data register 211,M_DATA211,R/W,,x,,Undefined
180002AA, CAN message data register 212,M_DATA212,R/W,,x,,Undefined
180002AB, CAN message data register 213,M_DATA213,R/W,,x,,Undefined
180002AC, CAN message data register 214,M_DATA214,R/W,,x,,Undefined
180002AD, CAN message data register 215,M_DATA215,R/W,,x,,Undefined
180002AE, CAN message data register 216,M_DATA216,R/W,,x,,Undefined
180002AF, CAN message data register 217,M_DATA217,R/W,,x,,Undefined
180002B0, CAN message ID register L21,M_IDL21,R/W,,,x,Undefined
180002B2, CAN message ID register H21,M_IDH21,R/W,,,x,Undefined
180002B4, CAN message configuration register 21,M_CONF21,R/W,,x,,Undefined
180002B5, CAN message status register 21,M_STAT21,R,,x,,Undefined
180002B6, CAN status set/cancel register 21,SC_STAT21,W,,,x,0000H
180002C0, CAN message event pointer 220,M_EVT220,R/W,,x,,Undefined
180002C1, CAN message event pointer 221,M_EVT221,R/W,,x,,Undefined
180002C2, CAN message event pointer 222,M_EVT222,R/W,,x,,Undefined
180002C3, CAN message event pointer 223,M_EVT223,R/W,,x,,Undefined
180002C4, CAN message data length register 22,M_DLC22,R/W,,x,,Undefined
180002C5, CAN message control register 22,M_CTRL22,R/W,,x,,Undefined
180002C6, CAN message time stamp register 22,M_TIME22,R/W,,,x,Undefined
180002C8, CAN message data register 220,M_DATA220,R/W,,x,,Undefined
180002C9, CAN message data register 221,M_DATA221,R/W,,x,,Undefined
180002CA, CAN message data register 222,M_DATA222,R/W,,x,,Undefined
180002CB, CAN message data register 223,M_DATA223,R/W,,x,,Undefined
180002CC, CAN message data register 224,M_DATA224,R/W,,x,,Undefined
180002CD, CAN message data register 225,M_DATA225,R/W,,x,,Undefined
180002CE, CAN message data register 226,M_DATA226,R/W,,x,,Undefined
180002CF, CAN message data register 227,M_DATA227,R/W,,x,,Undefined
180002D0, CAN message ID register L22,M_IDL22,R/W,,,x,Undefined
180002D2, CAN message ID register H22,M_IDH22,R/W,,,x,Undefined
180002D4, CAN message configuration register 22,M_CONF22,R/W,,x,,Undefined
180002D5, CAN message status register 22,M_STAT22,R,,x,,Undefined
180002D6, CAN status set/cancel register 22,SC_STAT22,W,,,x,0000H
180002E0, CAN message event pointer 230,M_EVT230,R/W,,x,,Undefined
180002E1, CAN message event pointer 231,M_EVT231,R/W,,x,,Undefined
180002E2, CAN message event pointer 232,M_EVT232,R/W,,x,,Undefined
180002E3, CAN message event pointer 233,M_EVT233,R/W,,x,,Undefined
180002E4, CAN message data length register 23,M_DLC23,R/W,,x,,Undefined
180002E5, CAN message control register 23,M_CTRL23,R/W,,x,,Undefined
180002E6, CAN message time stamp register 23,M_TIME23,R/W,,,x,Undefined
180002E8, CAN message data register 230,M_DATA230,R/W,,x,,Undefined
180002E9, CAN message data register 231,M_DATA231,R/W,,x,,Undefined
180002EA, CAN message data register 232,M_DATA232,R/W,,x,,Undefined
180002EB, CAN message data register 233,M_DATA233,R/W,,x,,Undefined
180002EC, CAN message data register 234,M_DATA234,R/W,,x,,Undefined
180002ED, CAN message data register 235,M_DATA235,R/W,,x,,Undefined
180002EE, CAN message data register 236,M_DATA236,R/W,,x,,Undefined
180002EF, CAN message data register 237,M_DATA237,R/W,,x,,Undefined
180002F0, CAN message ID register L23,M_IDL23,R/W,,,x,Undefined
180002F2, CAN message ID register H23,M_IDH23,R/W,,,x,Undefined
180002F4, CAN message configuration register 23,M_CONF23,R/W,,x,,Undefined
180002F5, CAN message status register 23,M_STAT23,R,,x,,Undefined
180002F6, CAN status set/cancel register 23,SC_STAT23,W,,,x,0000H
18000300, CAN message event pointer 240,M_EVT240,R/W,,x,,Undefined
18000301, CAN message event pointer 241,M_EVT241,R/W,,x,,Undefined
18000302, CAN message event pointer 242,M_EVT242,R/W,,x,,Undefined
18000303, CAN message event pointer 243,M_EVT243,R/W,,x,,Undefined
18000304, CAN message data length register 24,M_DLC24,R/W,,x,,Undefined
18000305, CAN message control register 24,M_CTRL24,R/W,,x,,Undefined
18000306, CAN message time stamp register 24,M_TIME24,R/W,,,x,Undefined
18000308, CAN message data register 240,M_DATA240,R/W,,x,,Undefined
18000309, CAN message data register 241,M_DATA241,R/W,,x,,Undefined
1800030A, CAN message data register 242,M_DATA242,R/W,,x,,Undefined
1800030B, CAN message data register 243,M_DATA243,R/W,,x,,Undefined
1800030C, CAN message data register 244,M_DATA244,R/W,,x,,Undefined
1800030D, CAN message data register 245,M_DATA245,R/W,,x,,Undefined
1800030E, CAN message data register 246,M_DATA246,R/W,,x,,Undefined
1800030F, CAN message data register 247,M_DATA247,R/W,,x,,Undefined
18000310, CAN message ID register L24,M_IDL24,R/W,,,x,Undefined
18000312, CAN message ID register H24,M_IDH24,R/W,,,x,Undefined
18000314, CAN message configuration register 24,M_CONF24,R/W,,x,,Undefined
18000315, CAN message status register 24,M_STAT24,R,,x,,Undefined
18000316, CAN status set/cancel register 24,SC_STAT24,W,,,x,0000H
18000320, CAN message event pointer 250,M_EVT250,R/W,,x,,Undefined
18000321, CAN message event pointer 251,M_EVT251,R/W,,x,,Undefined
18000322, CAN message event pointer 252,M_EVT252,R/W,,x,,Undefined
18000323, CAN message event pointer 253,M_EVT253,R/W,,x,,Undefined
18000324, CAN message data length register 25,M_DLC25,R/W,,x,,Undefined
18000325, CAN message control register 25,M_CTRL25,R/W,,x,,Undefined
18000326, CAN message time stamp register 25,M_TIME25,R/W,,,x,Undefined
18000328, CAN message data register 250,M_DATA250,R/W,,x,,Undefined
18000329, CAN message data register 251,M_DATA251,R/W,,x,,Undefined
1800032A, CAN message data register 252,M_DATA252,R/W,,x,,Undefined
1800032B, CAN message data register 253,M_DATA253,R/W,,x,,Undefined
1800032C, CAN message data register 254,M_DATA254,R/W,,x,,Undefined
1800032D, CAN message data register 255,M_DATA255,R/W,,x,,Undefined
1800032E, CAN message data register 256,M_DATA256,R/W,,x,,Undefined
1800032F, CAN message data register 257,M_DATA257,R/W,,x,,Undefined
18000330, CAN message ID register L25,M_IDL25,R/W,,,x,Undefined
18000332, CAN message ID register H25,M_IDH25,R/W,,,x,Undefined
18000334, CAN message configuration register 25,M_CONF25,R/W,,x,,Undefined
18000335, CAN message status register 25,M_STAT25,R,,x,,Undefined
18000336, CAN status set/cancel register 25,SC_STAT25,W,,,x,0000H
18000340, CAN message event pointer 260,M_EVT260,R/W,,x,,Undefined
18000341, CAN message event pointer 261,M_EVT261,R/W,,x,,Undefined
18000342, CAN message event pointer 262,M_EVT262,R/W,,x,,Undefined
18000343, CAN message event pointer 263,M_EVT263,R/W,,x,,Undefined
18000344, CAN message data length register 26,M_DLC26,R/W,,x,,Undefined
18000345, CAN message control register 26,M_CTRL26,R/W,,x,,Undefined
18000346, CAN message time stamp register 26,M_TIME26,R/W,,,x,Undefined
18000348, CAN message data register 260,M_DATA260,R/W,,x,,Undefined
18000349, CAN message data register 261,M_DATA261,R/W,,x,,Undefined
1800034A, CAN message data register 262,M_DATA262,R/W,,x,,Undefined
1800034B, CAN message data register 263,M_DATA263,R/W,,x,,Undefined
1800034C, CAN message data register 264,M_DATA264,R/W,,x,,Undefined
1800034D, CAN message data register 265,M_DATA265,R/W,,x,,Undefined
1800034E, CAN message data register 266,M_DATA266,R/W,,x,,Undefined
1800034F, CAN message data register 267,M_DATA267,R/W,,x,,Undefined
18000350, CAN message ID register L26,M_IDL26,R/W,,,x,Undefined
18000352, CAN message ID register H26,M_IDH26,R/W,,,x,Undefined
18000354, CAN message configuration register 26,M_CONF26,R/W,,x,,Undefined
18000355, CAN message status register 26,M_STAT26,R,,x,,Undefined
18000356, CAN status set/cancel register 26,SC_STAT26,W,,,x,0000H
18000360, CAN message event pointer 270,M_EVT270,R/W,,x,,Undefined
18000361, CAN message event pointer 271,M_EVT271,R/W,,x,,Undefined
18000362, CAN message event pointer 272,M_EVT272,R/W,,x,,Undefined
18000363, CAN message event pointer 273,M_EVT273,R/W,,x,,Undefined
18000364, CAN message data length register 27,M_DLC27,R/W,,x,,Undefined
18000365, CAN message control register 27,M_CTRL27,R/W,,x,,Undefined
18000366, CAN message time stamp register 27,M_TIME27,R/W,,,x,Undefined
18000368, CAN message data register 270,M_DATA270,R/W,,x,,Undefined
18000369, CAN message data register 271,M_DATA271,R/W,,x,,Undefined
1800036A, CAN message data register 272,M_DATA272,R/W,,x,,Undefined
1800036B, CAN message data register 273,M_DATA273,R/W,,x,,Undefined
1800036C, CAN message data register 274,M_DATA274,R/W,,x,,Undefined
1800036D, CAN message data register 275,M_DATA275,R/W,,x,,Undefined
1800036E, CAN message data register 276,M_DATA276,R/W,,x,,Undefined
1800036F, CAN message data register 277,M_DATA277,R/W,,x,,Undefined
18000370, CAN message ID register L27,M_IDL27,R/W,,,x,Undefined
18000372, CAN message ID register H27,M_IDH27,R/W,,,x,Undefined
18000374, CAN message configuration register 27,M_CONF27,R/W,,x,,Undefined
18000375, CAN message status register 27,M_STAT27,R,,x,,Undefined
18000376, CAN status set/cancel register 27,SC_STAT27,W,,,x,0000H
18000380, CAN message event pointer 280,M_EVT280,R/W,,x,,Undefined
18000381, CAN message event pointer 281,M_EVT281,R/W,,x,,Undefined
18000382, CAN message event pointer 282,M_EVT282,R/W,,x,,Undefined
18000383, CAN message event pointer 283,M_EVT283,R/W,,x,,Undefined
18000384, CAN message data length register 28,M_DLC28,R/W,,x,,Undefined
18000385, CAN message control register 28,M_CTRL28,R/W,,x,,Undefined
18000386, CAN message time stamp register 28,M_TIME28,R/W,,,x,Undefined
18000388, CAN message data register 280,M_DATA280,R/W,,x,,Undefined
18000389, CAN message data register 281,M_DATA281,R/W,,x,,Undefined
1800038A, CAN message data register 282,M_DATA282,R/W,,x,,Undefined
1800038B, CAN message data register 283,M_DATA283,R/W,,x,,Undefined
1800038C, CAN message data register 284,M_DATA284,R/W,,x,,Undefined
1800038D, CAN message data register 285,M_DATA285,R/W,,x,,Undefined
1800038E, CAN message data register 286,M_DATA286,R/W,,x,,Undefined
1800038F, CAN message data register 287,M_DATA287,R/W,,x,,Undefined
18000390, CAN message ID register L28,M_IDL28,R/W,,,x,Undefined
18000392, CAN message ID register H28,M_IDH28,R/W,,,x,Undefined
18000394, CAN message configuration register 28,M_CONF28,R/W,,x,,Undefined
18000395, CAN message status register 28,M_STAT28,R,,x,,Undefined
18000396, CAN status set/cancel register 28,SC_STAT28,W,,,x,0000H
180003A0, CAN message event pointer 290,M_EVT290,R/W,,x,,Undefined
180003A1, CAN message event pointer 291,M_EVT291,R/W,,x,,Undefined
180003A2, CAN message event pointer 292,M_EVT292,R/W,,x,,Undefined
180003A3, CAN message event pointer 293,M_EVT293,R/W,,x,,Undefined
180003A4, CAN message data length register 29,M_DLC29,R/W,,x,,Undefined
180003A5, CAN message control register 29,M_CTRL29,R/W,,x,,Undefined
180003A6, CAN message time stamp register 29,M_TIME29,R/W,,,x,Undefined
180003A8, CAN message data register 290,M_DATA290,R/W,,x,,Undefined
180003A9, CAN message data register 291,M_DATA291,R/W,,x,,Undefined
180003AA, CAN message data register 292,M_DATA292,R/W,,x,,Undefined
180003AB, CAN message data register 293,M_DATA293,R/W,,x,,Undefined
180003AC, CAN message data register 294,M_DATA294,R/W,,x,,Undefined
180003AD, CAN message data register 295,M_DATA295,R/W,,x,,Undefined
180003AE, CAN message data register 296,M_DATA296,R/W,,x,,Undefined
180003AF, CAN message data register 297,M_DATA297,R/W,,x,,Undefined
180003B0, CAN message ID register L29,M_IDL29,R/W,,,x,Undefined
180003B2, CAN message ID register H29,M_IDH29,R/W,,,x,Undefined
180003B4, CAN message configuration register 29,M_CONF29,R/W,,x,,Undefined
180003B5, CAN message status register 29,M_STAT29,R,,x,,Undefined
180003B6, CAN status set/cancel register 29,SC_STAT29,W,,,x,0000H
180003C0, CAN message event pointer 300,M_EVT300,R/W,,x,,Undefined
180003C1, CAN message event pointer 301,M_EVT301,R/W,,x,,Undefined
180003C2, CAN message event pointer 302,M_EVT302,R/W,,x,,Undefined
180003C3, CAN message event pointer 303,M_EVT303,R/W,,x,,Undefined
180003C4, CAN message data length register 30,M_DLC30,R/W,,x,,Undefined
180003C5, CAN message control register 30,M_CTRL30,R/W,,x,,Undefined
180003C6, CAN message time stamp register 30,M_TIME30,R/W,,,x,Undefined
180003C8, CAN message data register 300,M_DATA300,R/W,,x,,Undefined
180003C9, CAN message data register 301,M_DATA301,R/W,,x,,Undefined
180003CA, CAN message data register 302,M_DATA302,R/W,,x,,Undefined
180003CB, CAN message data register 303,M_DATA303,R/W,,x,,Undefined
180003CC, CAN message data register 304,M_DATA304,R/W,,x,,Undefined
180003CD, CAN message data register 305,M_DATA305,R/W,,x,,Undefined
180003CE, CAN message data register 306,M_DATA306,R/W,,x,,Undefined
180003CF, CAN message data register 307,M_DATA307,R/W,,x,,Undefined
180003D0, CAN message ID register L30,M_IDL30,R/W,,,x,Undefined
180003D2, CAN message ID register H30,M_IDH30,R/W,,,x,Undefined
180003D4, CAN message configuration register 30,M_CONF30,R/W,,x,,Undefined
180003D5, CAN message status register 30,M_STAT30,R,,x,,Undefined
180003D6, CAN status set/cancel register 30,SC_STAT30,W,,,x,0000H
180003E0, CAN message event pointer 310,M_EVT310,R/W,,x,,Undefined
180003E1, CAN message event pointer 311,M_EVT311,R/W,,x,,Undefined
180003E2, CAN message event pointer 312,M_EVT312,R/W,,x,,Undefined
180003E3, CAN message event pointer 313,M_EVT313,R/W,,x,,Undefined
180003E4, CAN message data length register 31,M_DLC31,R/W,,x,,Undefined
180003E5, CAN message control register 31,M_CTRL31,R/W,,x,,Undefined
180003E6, CAN message time stamp register 31,M_TIME31,R/W,,,x,Undefined
180003E8, CAN message data register 310,M_DATA310,R/W,,x,,Undefined
180003E9, CAN message data register 311,M_DATA311,R/W,,x,,Undefined
180003EA, CAN message data register 312,M_DATA312,R/W,,x,,Undefined
180003EB, CAN message data register 313,M_DATA313,R/W,,x,,Undefined
180003EC, CAN message data register 314,M_DATA314,R/W,,x,,Undefined
180003ED, CAN message data register 315,M_DATA315,R/W,,x,,Undefined
180003EE, CAN message data register 316,M_DATA316,R/W,,x,,Undefined
180003EF, CAN message data register 317,M_DATA317,R/W,,x,,Undefined
180003FC, CAN message ID register L31,M_IDL31,R/W,,,x,Undefined
180003F2, CAN message ID register H31,M_IDH31,R/W,,,x,Undefined
180003F4, CAN message configuration register 31,M_CONF31,R/W,,x,,Undefined
180003F5, CAN message status register 31,M_STAT31,R,,x,,Undefined
180003F7, CAN status set/cancel register 31,SC_STAT31,W,,,x,0000H
18001000, CAN stop register ,CSTOP,R/(W),,R,x,0000H
18001004, CAN interrupt pending register,CCINTP,R,,x,x,0000H
18001010, CAN global status register ,CGST,R/(W),,R,x,0100H
18001012, CAN global interrupt enable register ,CGIE,R/(W),,R,x,0A00H
18001014, CAN main clock select register,CGCS,R/W,,x,x,7F05H
18001016, CAN timer event enable register,CGTEN,R/W,,x,x,0000H
18001018, CAN time stop count register,CGTSC,R,,x,x,0000H
1800101A, CAN message find start register,CGMSS,W,,,x,0000H
1800101A, CAN message find result register,CGMSR,R,,,x,0000H
1800101C, CAN test bus register,CTBR,R/W,,x,x,0000H
1800101D, CAN Macro Version Register,CGREV,R,,x,x,Revision
1800101E, CAN Macro Revision Register,CGVER,R,,x,x,Version
1800101F, CAN Macro Revision Register,CGVER,R,,x,x,Version
18001020, CAN global interrupt pending register ,CGINTP,R/(W),,R,x,00H
18001022, CAN local interrupt pending register 1,C1INTP,R/W,,x,x,00H
18001024, CAN local interrupt pending register 2,C2INTP,R/W,,x,x,00H
18001026, CAN local interrupt pending register 3,C3INTP,R/W,,x,x,00H
18001028, CAN local interrupt pending register 4,C4INTP,R/W,,x,x,00H
18001040, CAN1 address mask register L0,C1MASKL0,R/W,,x,x,Undefined
18001042, CAN1 address mask register H0,C1MASKH0,R/W,,x,x,Undefined
18001044, CAN1 address mask register L1,C1MASKL1,R/W,,x,x,Undefined
18001046, CAN1 address mask register H1,C1MASKH1,R/W,,x,x,Undefined
18001048, CAN1 address mask register L2,C1MASKL2,R/W,,x,x,Undefined
1800104A, CAN1 address mask register H2,C1MASKH2,R/W,,x,x,Undefined
1800104C, CAN1 address mask register L3,C1MASKL3,R/W,,x,x,Undefined
1800104E, CAN1 address mask register H3,C1MASKH3,R/W,,x,x,Undefined
18001050, CAN1 control register ,C1CTRL,R/(W),,R,x,0101H
18001052, CAN1 definition register ,C1DEF,R/(W),,R,x,0000H
18001054, CAN1 information register,C1LAST,R,,x,x,00FFH
18001056, CAN1 error counter register,C1ERC,R,,x,x,0000H
18001058, CAN1 interrupt enable register ,C1IE,R/(W),,R,x,0000H
1800105A, CAN1 bus active register,C1BA,R,,x,x,00FFH
1800105C, CAN1 bit rate prescaler register,C1BRP,R/W,,x,x,0000H
1800105D, CAN1 bus diagnostic information register,C1DINF,R,,x,x,0000H
1800105E, CAN1 synchronization control register,C1SYNC,R/W,,x,x,0218H
18001080, CAN2 address mask register L0,C2MASKL0,R/W,,x,x,Undefined
18001082, CAN2 address mask register H0,C2MASKH0,R/W,,x,x,Undefined
18001084, CAN2 address mask register L1,C2MASKL1,R/W,,x,x,Undefined
18001086, CAN2 address mask register H1,C2MASKH1,R/W,,x,x,Undefined
18001088, CAN2 address mask register L2,C2MASKL2,R/W,,x,x,Undefined
1800108A, CAN2 address mask register H2,C2MASKH2,R/W,,x,x,Undefined
1800108C, CAN2 address mask register L3,C2MASKL3,R/W,,x,x,Undefined
1800108E, CAN2 address mask register H3,C2MASKH3,R/W,,x,x,Undefined
18001090, CAN2 control register ,C2CTRL,R/(W),,R,x,0101H
18001092, CAN2 definition register ,C2DEF,R/(W),,R,x,0000H
18001094, CAN2 information register,C2LAST,R,,x,x,00FFH
18001096, CAN2 error counter register,C2ERC,R,,x,x,0000H
18001098, CAN2 interrupt enable register ,C2IE,R/(W),,R,x,0000H
1800109A, CAN2 bus active register,C2BA,R,,x,x,00FFH
1800109C, CAN2 bit rate prescaler register,C2BRP,R/W,,x,x,0000H
1800109D, CAN2 bus diagnostic information register,C2DINF,R,,x,x,0000H
1800109E, CAN2 synchronization control register,C2SYNC,R/W,,x,x,0218H
180010C0, CAN3 address mask register L0,C3MASKL0,R/W,,x,x,Undefined
180010C2, CAN3 address mask register H0,C3MASKH0,R/W,,x,x,Undefined
180010C4, CAN3 address mask register L1,C3MASKL1,R/W,,x,x,Undefined
180010C6, CAN3 address mask register H1,C3MASKH1,R/W,,x,x,Undefined
180010C8, CAN3 address mask register L2,C3MASKL2,R/W,,x,x,Undefined
180010CA, CAN3 address mask register H2,C3MASKH2,R/W,,x,x,Undefined
180010CC, CAN3 address mask register L3,C3MASKL3,R/W,,x,x,Undefined
180010CE, CAN3 address mask register H3,C3MASKH3,R/W,,x,x,Undefined
180010D0, CAN3 control register,C3CTRL,R/(W),,R,x,0101H
180010D2, CAN3 definition register,C3DEF,R/(W),,R,x,0000H
180010D4, CAN3 information register ,C3LAST,R,,x,x,00FFH
180010D6, CAN3 error counter register,C3ERC,R,,x,x,0000H
180010D8, CAN3 interrupt enable register,C3IE,R/(W),,R,x,0000H
180010DA, CAN3 bus active register ,C3BA,R,,x,x,00FFH
180010DC, CAN3 bit rate prescaler register ,C3BRP,R/W,,x,x,0000H
180010DD, CAN3 bus diagnostic information register, C3DINF,R,,x,x,0000H
180010DE, CAN3 synchronization control register ,C3SYNC,R/W,,x,x,0218H
18001100, CAN4 address mask register L0 ,C4MASKL0,R/W,,x,x,Undefined
180011C2, CAN4 address mask register H0 ,C4MASKH0,R/W,,x,x,Undefined
180011C4, CAN4 address mask register L1 ,C4MASKL1,R/W,,x,x,Undefined
180011C6, CAN4 address mask register H1 ,C4MASKH1,R/W,,x,x,Undefined
180011C8, CAN4 address mask register L2 ,C4MASKL2,R/W,,x,x,Undefined
180011CA, CAN4 address mask register H2 ,C4MASKH2,R/W,,x,x,Undefined
180011CC, CAN4 address mask register L3 ,C4MASKL3,R/W,,x,x,Undefined
180011CE, CAN4 address mask register H3 ,C4MASKH3,R/W,,x,x,Undefined
180011D0, CAN4 control register,C4CTRL,R/(W),,R,x,0101H
180011D2, CAN4 definition register,C4DEF,R/(W),,R,x,0000H
180011D4, CAN4 information register,C4LAST,R,,x,x,00FFH
180011D6, CAN4 error counter register,C4ERC,R,,x,x,0000H
180011D8, CAN4 interrupt enable register, C4IE,R/(W),,R,x,0000H
180011DA, CAN4 bus active register ,C4BA,R,,x,x,00FFH
180011DC, CAN4 bit rate prescaler register,C4BRP,R/W,,x,x,0000H
180011DD, CAN4 bus diagnostic information register,C4DINF,R,,x,x,0000H
180011DE, CAN4 synchronization control register,C4SYNC,R/W,,x,x,0218H
